,classification
COMPLEX (HYDROLASE/PEPTIDE),17
CHITIN-BINDING PROTEIN,17
"Structural genomics, Unknown Function",17
GLYCOSYL HYDROLASE,17
COMPLEX (GTP-BINDING/TRANSDUCER),17
SIGNALING PROTEIN INHIBITOR,17
METALLOPROTEIN,17
APOPTOSIS/APOPTOSIS inhibitor,16
"APOPTOSIS, HYDROLASE/HYDROLASE INHIBITOR",16
CHAPERONE/ADHESIN COMPLEX,16
"PROTEIN TRANSPORT, HYDROLASE",16
NUCLEIC ACID BINDING PROTEIN,16
TRANSFERASE/TRANSFERASE,16
ODORANT BINDING PROTEIN,16
CHAPERONE/CELL ADHESION,16
hormone binding protein,16
Hormone/Growth Factor,16
ANTITUMOR PROTEIN/LIGASE,16
VIRAL PROTEIN/ANTIVIRAL PROTEIN,16
Viral Protein/Peptide,16
PLASMA PROTEIN,16
microtubule binding protein,16
ISOMERASE/VIRAL PROTEIN,16
OXIDOREDUCTASE(H2O2(A)),16
"Chaperone, Peptide Binding Protein",16
ANTIBIOTIC INHIBITOR,16
COMPLEX (PROTEINASE/INHIBITOR),16
REPRESSOR,16
ligase/protein binding,16
TRANSCRIPTION/STRUCTURAL PROTEIN,16
THIOL PROTEASE,16
"TRANSFERASE, IMMUNE SYSTEM/METAL BINDING PROTEIN",16
IMMUNE SYSTEM/PEPTIDE INHIBITOR,16
"BLOOD CLOTTING,HYDROLASE/INHIBITOR",16
TRANSFERASE/TRANSCRIPTION/INHIBITOR,16
Transferase/Transcription Regulator,16
OXIDASE,16
COMPLEX(SERINE PROTEINASE-INHIBITOR),16
RNA BINDING PROTEIN/IMMUNE SYSTEM,16
transferase/transferase INHIBITOR,16
Cytokine/Signaling Protein,16
TRANSFERASE/VIRAL PROTEIN,16
"HYDROLASE (NUCLEIC ACID,RNA)",16
ELECTRON TRANSFER(CUPROPROTEIN),16
TRANSCRIPTION REGULATOR/INHIBITOR,16
"Toxin, Protein Binding",16
CALCIUM BINDING,16
HYDROLASE/SUBSTRATE,16
"DE NOVO PROTEIN, LYASE",16
SIGNALING PROTEIN/RECEPTOR,16
CYTOSOLIC PROTEIN,16
Transferase/Hydrolase,16
"MEMBRANE PROTEIN,PEPTIDE BINDING PROTEIN",16
ACYLTRANSFERASE,16
MEMBRANE PROTEIN/PEPTIDE BINDING PROTEIN,16
INTRAMOLECULAR OXIDOREDUCTASE,16
FIBRIL PROTEIN,16
AMIDOTRANSFERASE,16
LIPOCALIN,16
OXIDOREDUCTASE/LIPID TRANSPORT,16
Structural Protein/Inhibitor,15
HYDROLASE/HYDROLASE RECEPTOR,15
"DE NOVO PROTEIN, METAL BINDING PROTEIN",15
ISOMERASE/ISOMERASE inhibitor,15
COMPLEX (IMMUNOGLOBULIN/HYDROLASE),15
METAL BINDING PROTEIN/INHIBITOR,15
HYDROLASE (METALLOPROTEASE),15
SEED STORAGE PROTEIN,15
ELONGATION FACTOR,15
OXIDOREDUCTASE (NITRIC OXIDE(A)),15
STRUCTURAL PROTEIN/CHAPERONE,15
MOTOR PROTEIN/HYDROLASE,15
LYASE/LYASE/SIGNALING PROTEIN,15
HISTOCOMPATIBILITY COMPLEX,15
TRANSPORT PROTEIN/toxin,15
CYTOSKELETON,15
GLYCOPROTEIN/PEPTIDE,15
hydrolase/hydrolase product,15
HYDROLASE/ANTIBODY,15
REGULATORY PROTEIN,15
TRANSCRIPTION/TRANSCRIPTION REGULATOR,15
MOTOR PROTEIN/STRUCTURAL PROTEIN,15
IRON TRANSPORT,15
"HYDROLASE, METAL BINDING PROTEIN",15
HALIDE BINDING PROTEIN,15
ELECTRON TRANSPORT(HEME PROTEIN),15
DNA BINDING PROTEIN/HYDROLASE,15
HYDROLASE/CELL CYCLE,15
"TRANSPORT PROTEIN, membrane protein",15
CARBOHYDRATE BINDING PROTEIN/INHIBITOR,14
SIGNALING PROTEIN/MEMBRANE PROTEIN,14
SIGNAL RECOGNITION,14
RETINOL TRANSPORT,14
Transcription/Agonist,14
SWEET-TASTING PROTEIN,14
"ISOMERASE, LYASE",14
RECEPTOR/IMMUNE SYSTEM,14
PROTEINASE INHIBITOR (TRYPSIN),14
AMINOACYL-TRNA SYNTHASE,14
"PROTEIN BINDING, HYDROLASE",14
Signaling Protein/RHOA-BINDING PROTEIN,14
RNA binding domain,14
ION CHANNEL,14
PROTEASOME ACTIVATOR,14
NUCLEOTIDE-BINDING PROTEIN,14
PROTEIN TRANSPORT/INHIBITOR,14
GTP BINDING PROTEIN,14
CARBOXYLIC ESTER HYDROLASE,14
ELECTRON TRANSFER(IRON-SULFUR PROTEIN),14
Structural Genomics/Unknown function,14
bacteriochlorophyll binding protein,14
HORMONE RECEPTOR/HORMONE ACTIVATOR,14
PROTEIN TRANSPORT/MEMBRANE PROTEIN,14
NUCLEASE,14
PENTOSYLTRANSFERASE,14
BACTERIAL PROTEIN,14
HYDROLASE/MEMBRANE PROTEIN,14
AMINOACYL-TRNA SYNTHETASE,14
CHORISMATE MUTASE,14
OXIDOREDUCTASE(SUPEROXIDE ACCEPTOR),14
PROTEIN TRANSPORT/VIRAL PROTEIN,14
LIPID BINDING PROTEIN/INHIBITOR,14
TNF SIGNALING,14
CHAPERONE/DNA BINDING PROTEIN,14
Contractile Protein/Protein binding,14
CARBOHYDRATE BINDING DOMAIN,14
Carbohydrate binding protein,14
CELL ADHESION/TOXIN,14
TOXIN/STRUCTURAL PROTEIN,14
ALKALINE PHOSPHATASE,14
STRUCTURAL PROTEIN/CONTRACTILE PROTEIN,14
"REPLICATION, DNA BINDING PROTEIN",14
OXIDOREDUCTASE/METAL BINDING PROTEIN,14
IMMUNE SYSTEM/MEMBRANE PROTEIN,14
DNA BINDING PROTEIN/INHIBITOR,14
transferase/transferase regulator,14
TRANSFERASE/CHAPERONE,14
ELECTRON TRANSPORT PROTEIN (CYTOCHROME),14
"METAL TRANSPORT, MEMBRANE PROTEIN",14
"APOPTOSIS, HYDROLASE",14
CELL INVASION/CELL ADHESION,14
CHAPERONE/TRANSFERASE,14
HYDROLASE ACTIVATOR/PROTEIN TRANSPORT,14
TRANSFERASE/NUCLEAR PROTEIN,14
ANTIBIOTIC BIOSYNTHESIS,13
OXIDOREDUCTASE/OXIDOREDUCTASE SUBSTRATE,13
GENE REGULATING PROTEIN,13
ODORANT-BINDING PROTEIN,13
"MEMBRANE PROTEIN, PROTEIN BINDING",13
LIGASE (SYNTHETASE),13
GENE REGULATION/SIGNALING PROTEIN,13
"CELL ADHESION, SPLICING",13
HYDROLASE/Peptide,13
transferase/dna,13
DNA BINDING PROTEIN/TRANSFERASE,13
CYTOKINE/INHIBITOR,13
hormone/growth factor receptor,13
TOXIN/TOXIN INHIBITOR,13
CHAPERONE PROTEIN,13
REPLICATION/REPLICATION INHIBITOR,13
"CELL CYCLE, HYDROLASE",13
UBIQUITIN-BINDING PROTEIN,13
CELL CYCLE/TRANSFERASE,13
ELECTRON TRANSPORT(COPPER BINDING),13
"HYDROLASE, BLOOD CLOTTING",13
FMN-BINDING PROTEIN,13
HORMONE BINDING PROTEIN,13
ASPARTIC PROTEASE,13
SERINE PROTEINASE INHIBITOR,13
"TRANSFERASE,HYDROLASE",13
HYDROLASE (ACID PROTEINASE),13
DIGOXIGENIN BINDING PROTEIN,13
SIGNALING,13
ATP BINDING PROTEIN,13
ELECTRON TRANSPORT (HEME PROTEIN),13
COMPLEX (PROTEASE/INHIBITOR),13
"Isomerase, protein binding",13
"PROTEIN TRANSPORT, ENDOCYTOSIS",13
CHAPERONE/Antibiotic,13
PROTEIN BINDING/HORMONE/GROWTH FACTOR,13
CARBOHYDRATE BINDING MODULE,13
Pheromone Binding Protein,13
OXIDOREDUCTASE(ALDEHYDE(D)-NAD(A)),12
Chaperone/Inhibitor,12
"ISOMERASE,LYASE",12
ELECTRON TRANSPORT/INHIBITOR,12
METAL BINDING PROTEIN/PROTEIN BINDING,12
HORMONE/RECEPTOR,12
STRUCTURAL PROTEIN/MOTOR PROTEIN,12
CHOLINE-BINDING DOMAIN,12
"CONTRACTILE PROTEIN, PROTEIN BINDING",12
"IMMUNE SYSTEM, ANTITUMOR PROTEIN",12
METAL BINDING PROTEIN/TOXIN,12
Protein Transport/Lipid Binding Protein,12
"CELL CYCLE,HYDROLASE/CELL CYCLE",12
ASPARAGINASE,12
AMINOPEPTIDASE,12
VIRAL PROTEIN/DE NOVO PROTEIN,12
"STRUCTURAL PROTEIN, CONTRACTILE PROTEIN",12
DEHYDRATASE,12
OXIDOREDUCTASE(FLAVOENZYME),12
Transport protein/Toxin,12
transferase/protein binding,12
SIGNALING PROTEIN/PEPTIDE INHIBITOR,12
VIRAL PROTEIN/VIRAL PROTEIN inhibitor,12
protein binding/signaling protein,12
transferase/replication,12
TRANSFERASE/SIGNALING PROTEIN/INHIBITOR,12
CARRIER PROTEIN,12
"TRANSFERASE,HYDROLASE/TRANSPORT PROTEIN",12
hydrolase/immune system,12
CELL ADHESION/CELL CYCLE,12
SIGNALING PROTEIN/Transferase,12
hydrolase/hydrolase substrate,12
"TRANSPORT PROTEIN,STRUCTURAL PROTEIN",12
antibiotic/antibiotic inhibitor,12
DNA BINDING,12
"MEMBRANE PROTEIN, HYDROLASE/INHIBITOR",12
"Ligase, Cell Cycle",12
"CELL ADHESION, SIGNALING PROTEIN",12
IMMUNE SYSTEM/ cell adhesion,12
IRON STORAGE AND ELECTRON TRANSPORT,12
"BIOSYNTHETIC PROTEIN,Structural Protein",12
HORMONE/GROWTH FACTOR/IMMUNE SYSTEM,12
"TRANSFERASE,HYDROLASE/INHIBITOR",12
"membrane protein, transport protein",12
cell adhesion/immune system,12
transferase/substrate,12
STRUCTURAL PROTEIN/PEPTIDE,12
MEMBRANE PROTEIN/HEME BINDING PROTEIN,12
"membrane protein, tranport protein",12
"TRANSLATION,HYDROLASE",12
DNA BINDING PROTEIN/CELL CYCLE,12
VIRAL PROTEIN/VIRAL PROTEIN,12
VIRAL PROTEIN/TRANSFERASE INHIBITOR,12
Ligase/APOPTOSIS,12
"OXIDOREDUCTASE, LYASE/INHIBITOR",12
Cytokine/Receptor,12
CELLULOSE DEGRADATION,12
LYASE/OXIDOREDUCTASE,12
"MEMBRANE PROTEIN, LIPID TRANSPORT",12
CA-BINDING PROTEIN/MOTOR PROTEIN,12
TRANSFERASE/DE NOVO PROTEIN,12
Ligand binding protein,12
HYDROLASE/MOTOR PROTEIN,12
Transferase regulator,12
TRANSFERASE (GLUTAMINE AMIDOTRANSFERASE),12
ENVELOPE GLYCOPROTEIN,12
PROTEIN TRANSPORT/Immune system,12
PEROXIDASE,12
PROTEIN BINDING/LIPID BINDING PROTEIN,12
CELL CYCLE/REPLICATION,12
ATP-binding protein,12
"lyase, oxidoreductase",12
"Protein transport, sugar binding protein",12
LIGHT-HARVESTING PROTEIN,12
Growth Factor/Inhibitor,12
oxidoreductase/Oxidoreductase inhibitor,12
"HYDROLASE/Immune System, INHIBITOR",12
PROTEASE/PROTEASE INHIBITOR,12
Hormone receptor/peptide,12
"CYTOKINE, HORMONE/GROWTH FACTOR receptor",12
transcription regulation,12
LYASE/Metal binding protein,12
PROTEIN BINDING/PROTEIN FIBRIL,12
COMPLEX (DNA BINDING PROTEIN/PEPTIDE),12
OXYGEN TRANSPORT/TRANSPORT PROTEIN,12
"ISOMERASE, TRANSFERASE",12
TRANSPORT PROTEIN/RNA BINDING PROTEIN,12
"TRANSFERASE, BIOSYNTHETIC PROTEIN",12
HYDROLASE/substrate,12
Apoptosis/Immune System,12
"Hydrolase, dna binding protein",12
VIRAL PROTEIN/PROTEIN TRANSPORT,12
VIRAL PROTEIN/inhibitor,12
REPLICATION INHIBITOR,12
SIGNALING PROTEIN/GTP-BINDING PROTEIN,12
Heme Binding Protein,12
IMMUNE SYSTEM/Transferase,12
"TRANSCRIPTION, transferase",12
VIRAL PROTEIN/CYTOKINE,12
Contractile Protein/Actin-Binding Protein,12
IMMUNE SYSTEM/PROTON TRANSPORT,12
"OXIDOREDUCTASE, HYDRLOASE",12
"Ligase,transferase",12
TRANSFERASE/immune system,12
PROTEIN BINDING/ALLERGEN,12
IRON-BINDING/OXIDATION PROTEIN,12
oxidoreductase/oxidoreductase INHIBITOR,12
CELL MOTILITY PROTEIN,12
EXTRACELLULAR MATRIX,12
ALDOLASE,12
SIGNALING PROTEIN/DE NOVO PROTEIN,12
SERPIN,12
TRANSFERASE (GLUTATHIONE),12
TRANSFERASE/GENE REGULATION,12
CYTOTOXIN,12
HYDROLASE/ISOMERASE/IMMUNOSUPPRESSANT,12
HORMONE/HORMONE ACTIVATOR,12
transferase/viral protein,12
Transferase/Cell Cycle,12
"PROTEIN BINDING, TRANSPORT PROTEIN",12
"LYASE,OXIDOREDUCTASE/TRANSFERASE",12
Virus/Immune system,12
METAL BINDING PROTEIN/TRANSPORT PROTEIN,12
COMPLEX (MHC PROTEIN/ANTIGEN),12
ZN-BINDING PROTEIN,12
MEMBRANE PROTEIN/TRANSCRIPTION,12
LIGASE/LIGASE inhibitor,12
"TRANSFERASE, SIGNALING PROTEIN",12
Calcium Binding Protein,12
RIBOSOME INHIBITOR,12
TRANSLATION/HYDROLASE,12
"STRUCTURAL PROTEIN, ELECTRON TRANSPORT",12
Ligase/Isomerase/Protein Binding,12
CYTOKINE RECEPTOR/CYTOKINE,12
"VIRAL PROTEIN,TRANSFERASE",12
"PROTEIN BINDING, DE NOVO PROTEIN",11
ELECTRON TRANSFER (IRON-SULFUR PROTEIN),11
LYASE (ALDEHYDE),11
CALCIUM/PHOSPHOLIPID-BINDING PROTEIN,11
CARDIOTOXIN,11
sugar binding protein/inhibitor,11
"LYASE, BIOSYNTHETIC PROTEIN",11
"Lyase, Transferase",11
"PROTEIN TRANSPORT, MEMBRANE PROTEIN",11
Calcium Binding protein,11
LIPASE,11
POLYSPECIFICITY,11
Virus/Immune System,11
CHAPERONE/INHIBITOR,11
LIPID BINDING,11
"DE NOVO PROTEIN, PROTEIN BINDING",11
LECTIN(AGGLUTININ),11
OXIDOREDUCTASE/BIOSYNTHETIC PROTEIN,11
CELL DIVISION PROTEIN,11
oxidoreductase/substrate,11
TRANSFERASE INHIBITOR,11
"METAL BINDING PROTEIN, PROTEIN BINDING",11
"HYDROLASE, LYASE",11
REPLICATION REGULATOR,11
viral protein/membrane protein,11
UBIQUITIN,11
CALCIUM-BINDING,11
MONOOXYGENASE,11
"Viral Protein, hydrolase",11
hydrolase/viral protein,11
"LIGASE, HYDROLASE",11
CHAPERONE/Inhibitor,11
IMMUNE SYSTEM/PROTEIN BINDING,11
Structural Genomics/Unknown Function,11
apoptosis inhibitor,11
DNA BINDING REGULATORY PROTEIN,11
"SIGNALING PROTEIN, ELECTRON TRANSPORT",11
HYDROLASE(ACTING ON ACID ANHYDRIDES),11
RACEMASE,11
"VIRAL PROTEIN, MEMBRANE PROTEIN",11
TRANSMEMBRANE PROTEIN,11
"METAL BINDING PROTEIN, OXIDOREDUCTASE",11
HYDROLASE inhibitor,11
calcium binding protein,11
heme-binding protein,10
Lyase/Inhibitor,10
"MEMBRANE PROTEIN,TRANSPORT PROTEIN",10
DNA BINDING PROTEIN/GENE REGULATION,10
STRUCTURAL GENOMICS/OXIDOREDUCTASE,10
FLUORESCENT PROTEIN/IMMUNE SYSTEM,10
COMPLEX (SERINE PROTEASE/COAGULATION),10
transferase/growth factor,10
hydrolase/unknown function,10
"Isomerase, lyase",10
PROTEIN KINASE,10
Cell Adhesion/BLOOD CLOTTING,10
Transferase/Protein binding,10
Hormone/Hormone Receptor/Immune System,10
"MEMBRANE PROTEIN, OXIDOREDUCTASE",10
DISULFIDE OXIDOREDUCTASE,10
PHOSPHATE TRANSPORT,10
HEAT SHOCK PROTEIN,10
Protein binding/Immune System,10
INHIBITOR/APOPTOSIS,10
GTPASE,10
"structural genomics, gene regulation",10
TRANSCRIPTION/HYDROLASE,10
acetylcholine binding protein,10
"RIBOSOME INHIBITOR, HYDROLASE",10
COMPLEX(LECTIN/SACCHARIDE),10
protein binding/cell adhesion,10
"Immune System, RNA Binding Protein",10
COMPLEX(BIOTIN-BINDING PROTEIN/PEPTIDE),10
"DNA BINDING PROTEIN, RECOMBINATION",10
Protein/Peptide,10
transferase/hydrolase,10
ION CHANNEL/RECEPTOR,10
hormone-binding protein,10
COMPLEX (MHC/VIRAL PEPTIDE/RECEPTOR),10
Carotenoid binding protein,10
TRANSFERASE/ TRANSFERASE INHIBITOR,10
PEPTIDE ANTIBIOTIC,10
APOPTOSIS/SIGNALING PROTEIN,10
GENE REGULATION/ANTITUMOR PROTEIN,10
TRANSPORT PROTEIN/CALCIUM BINDING,10
Hydrolase/Antibody,10
VIRUS/VIRAL PROTEIN/RNA BINDING PROTEIN,10
HYDROLASE/ANTITOXIN,10
TRANSFERASE/HORMONE,10
Ligase/Transferase,10
HYDROLASE/TRANSCRIPTION,10
"PROTEIN TRANSPORT, TRANSCRIPTION",10
SITE-SPECIFIC RECOMBINASE,10
ISOMERASE/BIOSYNTHETIC PROTEIN,10
HYDROLASE (GUANYLORIBONUCLEASE),10
TRANSCRIPTION/RNA BINDING PROTEIN,10
TRANSPORT PROTEIN/Receptor/Agonist,10
TRANSPORT PROTEIN/Receptor,10
DIHYDROLIPOAMIDE ACETYLTRANSFERASE,10
TRANSPORT PROTEIN/AGONIST,10
CHOLINE BINDING PROTEIN/TOXIN,10
Penicillin-binding protein/Antibiotic,10
"hydrolase, transferase",10
TRANSCRIPTION/protein binding,10
ANTITUMOR PROTEIN/PROTEIN BINDING,10
RECEPTOR/INHIBITOR,10
translation factor/antibiotic,10
RECEPTOR PROTEIN,10
viral protein/transcription inhibitor,10
BLOOD COAGULATION FACTOR,10
TRANSCRIPTION/RNA,10
Hydrolase/Apoptosis,10
COMPLEX (ELECTRON TRANSPORT/PEPTIDE),10
TRANSCRIPTION/REPLICATION,10
"DNA BINDING PROTEIN, viral protein",10
"LYASE,ISOMERASE",10
CHAPERONE/PROTEIN TRANSPORT,10
PROTEIN TURNOVER/PROTEIN TURNOVER,10
IMMUNOGLOBULIN-BINDING PROTEIN,10
CELL ADHESION/STRUCTURAL PROTEIN,10
Hydrolase/hydrolase Inhibitor,10
PROTEIN BINDING/DNA BINDING PROTEIN,10
"IMMUNE SYSTEM, SIGNALING PROTEIN",10
PEPTIDE BINDING PROTEIN/VIRAL PROTEIN,10
PROTEIN TRANSPORT/DNA BINDING PROTEIN,10
ACUTE-PHASE PROTEIN,10
OXIDOREDUCTASE (H2O2(A)),10
KETOLISOMERASE,10
Transcription/Peptide,10
TRANSFERASE/signaling protein,10
photoreceptor,9
CIS-TRANS ISOMERASE,9
"TOXIN, TRANSFERASE",9
SOLUTE BINDING PROTEIN,9
COMPLEX (IMMUNOGLOBULIN/PEPTIDE),9
HORMONE RECEPTOR/IMMUNE SYSTEM,9
"transferase, hydrolase",9
HEME binding protein,9
CHROMOSOMAL PROTEIN,9
"STRUCTURAL GENOMICS,  UNKNOWN FUNCTION",9
Hydrolase/IMMUNE SYSTEM,9
COMPLEX (MHC CLASS I/PEPTIDE),9
ANTAGONIST,9
lyase/lyase substrate,9
OXIDOREDUCTASE/TRANSCRIPTION,9
SIGNALING PROTEIN/Hydrolase,9
"metal transport, membrane protein",9
Transferase/Signaling protein,9
BLOOD COAGULATION/HYDROLASE INHIBITOR,9
"Structural Genomics, UNKNOWN FUNCTION",9
PLATELET FACTOR,9
METAL TRANSPORT INHIBITOR/RECEPTOR,9
"HYDROLASE, ISOMERASE",9
HYDROLASE (C-TERMINAL PEPTIDASE),9
CALCIUM/PHOSPHOLIPID BINDING,9
COMPLEX (ANTIBODY/PEPTIDE),9
CCDB,9
Hydrolase/DE NOVO PROTEIN,9
ISOMERASE/CHAPERONE,9
TRANSPORT PROTEIN/Immune System,9
"OXIDOREDUCTASE, MEMBRANE PROTEIN",9
"Transcription, protein binding",9
"TRANSCRIPTION, REPLICATION",9
COMPLEX (HEMAGGLUTININ/IMMUNOGLOBULIN),9
"MEMBRANE PROTEIN, HYDROLASE",9
GTP-BINDING PROTEIN/GTP-BINDING PROTEIN INHIBITOR,9
COMPLEX (ANTIGEN/PEPTIDE),9
SERINE PROTEINASE/RECEPTOR,9
TRANSCRIPTION/DNA,9
COMPLEX (HORMONE/RECEPTOR),9
Cytokine/Cytokine receptor,9
IMMUNE SYSTEM-VIRAL PROTEIN COMPLEX,9
Lyase/Lyase inhibitor,9
Viral Protein/Immue System,9
PROTEINASE INHIBITOR(TRYPSIN),9
STRUCTURAL PROTEIN/CELL ADHESION,9
LYASE(CARBON-OXYGEN),9
METAL BINDING PROTEIN/ELECTRON TRANSPORT,9
STRUCTURAL PROTEIN/RNA BINDING PROTEIN,9
RESPONSE REGULATOR,9
RIBOSOME-INACTIVATING PROTEIN,9
PROTEIN BINDING/CYTOKINE,9
IMMUNE SYSTEM/METAL TRANSPORT,9
"SIGNALING PROTEIN, MEMBRANE PROTEIN",9
HYDROLASE(SH2 DOMAIN),9
CAROTENOID BINDING PROTEIN,9
TRANSCRIPTION REPRESSOR/INHIBITOR,9
ADENOVIRUS,9
hydrolase/RNA binding protein,9
OXIDOREDUCTASE/OXIDOREDUCTASE Inhibitor,9
"STRUCTURAL PROTEIN, PROTEIN TRANSPORT",9
"Transport Protein, Membrane Protein",9
"lyase, isomerase",9
Viral protein/receptor,9
Cell adhesion/Cell adhesion,8
PROTEIN BINDING/SIGNALING PROTEIN/HYDROLASE/PEPTIDE,8
signaling protein/membrane protein,8
VIRAL PROTEIN/APOPTOSIS,8
LIGHT HARVESTING PROTEIN,8
STRUCTURAL PROTEIN/STRUCTURAL PROTEIN,8
Signaling Protein/Inhibitor,8
"Viral protein, Replication",8
MEMBRANE PROTEIN/HORMONE/GROWTH FACTOR,8
PROTEIN KINASE C INTERACTING PROTEIN,8
PROTEIN TRANSPORT/PEPTIDE,8
HORMONE REGULATOR COMPLEX,8
"ISOMERASE,SUGAR BINDING PROTEIN",8
DE NOVO PROTEIN/PEPTIDE,8
OXYGENASE,8
TRANSLATION/LIGASE,8
MOTOR PROTEIN/CALCIUM BINDING PROTEIN,8
COMPLEX (ISOMERASE/PROTEIN KINASE),8
TRANSCRIPTION/Peptide/Agonist,8
Immune system/hydrolase inhibitor,8
LIGASE/BIOTIN BINDING PROTEIN,8
BETA-LACTAMASE,8
Signaling protein/hydrolase,8
COMPLEX (GLYCOPROTEIN/PEPTIDE),8
"HYDROLASE,SIGNALING PROTEIN/INHIBITOR",8
COMPLEX OF TWO ELONGATION FACTORS,8
Viral protein/DNA BINDING PROTEIN,8
METAL-BINDING,8
LIPID TRANSPORT/OXIDOREDUCTASE,8
"oxidoreductase, transferase",8
Chaperone/protein binding,8
SIGNALING PROTEIN/OXIDOREDUCTASE,8
"Hormone, Transport protein",8
"PROTEIN FIBRIL, LIGASE",8
DNA BINDING PROTEIN/inhibitor,8
signaling Protein/Peptide,8
"FLAVOPROTEIN, FLUORESCENT PROTEIN",8
"HYDROLASE, TRANSPORT PROTEIN",8
"CHAPERONE, PEPTIDE BINDING PROTEIN",8
NON SPECIFIC MONO-ESTERASE,8
Chaperone/Chaperone Inhibitor,8
SIGNAL PROTEIN,8
COMPLEX (KINASE/PEPTIDE),8
MEMBRANE PROTEIN/AGONIST,8
Membrane protein/Chaperone,8
Hydrolase activator,8
HYDROLASE(C-TERMINAL PEPTIDASE),8
VIRUS/Immune System,8
HYDROLASE/PROTEIN-BINDING,8
PROTEIN TURNOVER/ENDOCYTOSIS,8
TRANSFERASE/Transferase regulator,8
protein binding/ligase,8
retinol-binding protein,8
HYDROLASE/Antibiotic,8
Isomerase/Transferase,8
TOXIN/ISOMERASE,8
SERINE HYDROLASE,8
transcription/hydrolase,8
TRANSFERASE/METAL BINDING PROTEIN,8
"Transferase,toxin",8
Amine-binding protein,8
TRANSPORT PROTEIN/TRANSFERASE,8
TYROSINE-PROTEIN KINASE,8
OXIDOREDUCTASE/LIPID BINDING PROTEIN,8
MEMBRANE PROTEIN/PROTEIN BINDING,8
DEFENSIN,8
membrane protein/Immune System,8
CELLULOSE-BINDING PROTEIN,8
PLANT LECTIN,8
ANTITOXIN/TOXIN,8
FAMILY 10 XYLANASE,8
PROTEIN BINDING/MOTOR PROTEIN,8
"CELL CYCLE, REPLICATION",8
Cell adhesion/inhibitor,8
"hydrolase, lyase",8
HYDROLASE/TRANSPORTER PROTEIN/PROTEIN BINDING,8
TRANSFERASE/IHIBITOR,8
COMPLEX (MHC II/PEPTIDE/TOXIN),8
SURFACTANT PROTEIN,8
COMPLEX (MOLECULAR CHAPERONE/PEPTIDE),8
Hydrolase/PROTEIN BINDING,8
"LYASE, PROTEIN BINDING, PHOTOSYNTHESIS",8
CARBOXY-LYASE,8
"Transcription, DNA binding",8
COMPLEX(PROTEINASE/INHIBITOR),8
ligase/signaling protein,8
TRANSCRIPTION/Protein binding,8
COMPLEX (METALLOPROTEASE/INHIBITOR),8
Cell Adhesion/Carbohydrate Binding,8
HORMONE BINDING PROTEIN/INHIBITOR,8
amine-binding protein,8
DNA BINDING PROTEIN/REPLICATION,8
BACTERIAL CELL DIVISION INHIBITOR,8
SERUM PROTEIN,8
RNA BINDING PROTEIN/INHIBITOR,8
"transport protein, receptor",8
SIGNALING PROTEIN/Transcription,8
IMMUNE SYSTEM/TRANSCRIPTION,8
LIGASE/INHIBITOR,8
TRANSCRIPTION/Protein Binding,8
TRANSFERASE/TRANSFERASE activator,8
"Oxygen Storage, Oxygen transport",8
CYTOKINE/Viral protein,8
CYTOKINE (CHEMOTACTIC),8
"MEMBRANE PROTEIN, SIGNALING PROTEIN",8
"TRANSCRIPTIONAL STIMULATOR,DIMERIZATION",8
Folate Binding Protein,8
Oxidoreductase/Transferase,8
COMPLEX (PHOSPHOTRANSFERASE/PEPTIDE),8
"MEMBRANE PROTEIN, TRANSPORT PROTEIN, SIGNALING PROTEIN",8
LIPID BINDING PROTEIN/IMMUNE SYSTEM,8
PROTEIN BINDING/VIRAL PROTEIN,8
HORMONE RECEPTOR/ACTIVATOR,8
TRANSPORT PROTEIN/LIPOPROTEIN,8
Signaling Protein/Antibiotic,8
transferase / protein binding,8
TOXIN/INHIBITOR,8
viral protein / immune system,8
"METAL BINDING PROTEIN, SIGNALING PROTEIN",8
HYDROLASE/IMMUNE SYSTEM/HORMONE,8
"PROTEIN BINDING, TRANSFERASE",8
IMMUNE SYSTEM/Cytokine,8
Lyase/protein binding,8
protein transport/protein binding,8
oxidoreductase/oxidoreductase Inhibitor,8
SIGNALING PROTEIN/TRANSPORT PROTEIN,8
TRANSFERASE/SUBSTRATE,8
"REPLICATION, HYDROLASE",8
OXIDODREDUCTASE/COPPER BINDING PROTEIN,8
"SUGAR BINDING PROTEIN, PLANT PROTEIN",8
oxidoreductase/Inhibitor,8
PROTEIN BIOSYNTHESIS,8
COMPLEX (IMMUNORECEPTOR/IMMUNOGLOBULIN),8
CELL RECEPTOR,8
OXIDOREDUCTASE (ALDEHYDE(D)-NAD+(A)),8
OXIREDUCTASE/OXIREDUCTASE INHIBITOR,8
SIGNALING PROTEIN/DNA BINDING PROTEIN,8
SECRETION SYSTEM,8
ELECTRON TRANSPORT (CYTOCHROME),8
HYDROLASE INHIBITOR/PROTEIN BINDING,8
LIGHT HARVESTING COMPLEX,8
Nucleotide binding protein,8
NITROGEN FIXATION,8
ISOMERASE/ISOMERASE Inhibitor,8
OXIDOREDUCTASE/PEPTIDE INHIBITOR,8
"TRANSPORT PROTEIN, TOXIN",8
PHOSPHOPROTEIN-BINDING DOMAIN,8
TRANSPORT PROTEIN / MEMBRANE PROTEIN,8
ISOMERASE/ISOMERASE SUBSTRATE,8
Oxidoreductase/METAL BINDING PROTEIN,8
LIGASE IMP,8
Signaling Protein/Signaling Protein,8
